Graph Name,No of sources of Evidences,Controller,Worst-Case Controller to Switch
RNP.GRAPHML,2,16,5.0
RNP.GRAPHML,2,9,1.0
RNP.GRAPHML,2,4,1.0
RNP.GRAPHML,3,5,2.0
RNP.GRAPHML,3,9,1.0
RNP.GRAPHML,3,4,1.0
RNP.GRAPHML,3,0,2.0
RNP.GRAPHML,3,2,1.0
RNP.GRAPHML,3,1,1.0
RNP.GRAPHML,3,16,5.0
RNP.GRAPHML,4,5,6.0
RNP.GRAPHML,4,9,1.0
RNP.GRAPHML,4,4,1.0
RNP.GRAPHML,4,0,2.0
RNP.GRAPHML,4,2,1.0
ROEDUNETFIBRE.GRAPHML,2,4,1.0
ROEDUNETFIBRE.GRAPHML,2,42,4.0
ROEDUNETFIBRE.GRAPHML,2,16,3.0
ROEDUNETFIBRE.GRAPHML,2,0,2.0
ROEDUNETFIBRE.GRAPHML,2,27,5.0
ROEDUNETFIBRE.GRAPHML,2,25,1.0
ROEDUNETFIBRE.GRAPHML,2,44,3.0
ROEDUNETFIBRE.GRAPHML,3,4,6.0
ROEDUNETFIBRE.GRAPHML,3,0,1.0
ROEDUNETFIBRE.GRAPHML,3,2,4.0
ROEDUNETFIBRE.GRAPHML,3,16,3.0
ROEDUNETFIBRE.GRAPHML,3,25,2.0
ROEDUNETFIBRE.GRAPHML,3,13,2.0
ROEDUNETFIBRE.GRAPHML,3,22,3.0
ROEDUNETFIBRE.GRAPHML,4,4,6.0
ROEDUNETFIBRE.GRAPHML,4,0,1.0
ROEDUNETFIBRE.GRAPHML,4,2,4.0
ROEDUNETFIBRE.GRAPHML,4,16,3.0
ROEDUNETFIBRE.GRAPHML,4,13,2.0
ROEDUNETFIBRE.GRAPHML,4,22,3.0
ROEDUNETFIBRE.GRAPHML,4,25,1.0
SINET.GRAPHML,2,34,3.0
SINET.GRAPHML,2,35,1.0
SINET.GRAPHML,2,20,3.0
SINET.GRAPHML,2,24,3.0
SINET.GRAPHML,2,49,3.0
SINET.GRAPHML,3,66,2.0
SINET.GRAPHML,3,70,2.0
SINET.GRAPHML,3,4,2.0
SINET.GRAPHML,3,18,2.0
SINET.GRAPHML,3,52,3.0
SINET.GRAPHML,3,6,2.0
SINET.GRAPHML,3,35,2.0
SINET.GRAPHML,3,0,1.0
SINET.GRAPHML,4,73,2.0
SINET.GRAPHML,4,70,3.0
SINET.GRAPHML,4,63,2.0
SINET.GRAPHML,4,66,2.0
SINET.GRAPHML,4,27,2.0
SINET.GRAPHML,4,50,2.0
SINET.GRAPHML,4,57,2.0
SINET.GRAPHML,4,52,3.0
SPRINT,2,4,1.0
SPRINT,2,10,1.0
SPRINT,2,0,1.0
SPRINT,3,1,2.0
SPRINT,3,3,1.0
SPRINT,3,2,1.0
SPRINT,4,2,1.0
SPRINT,4,10,2.0
SPRINT,4,9,1.0
SUNET.GRAPHML,2,2,1.0
SUNET.GRAPHML,2,16,1.0
SUNET.GRAPHML,2,1,2.0
SUNET.GRAPHML,2,9,2.0
SUNET.GRAPHML,2,10,2.0
SUNET.GRAPHML,2,22,3.0
SUNET.GRAPHML,3,1,2.0
SUNET.GRAPHML,3,2,6.0
SUNET.GRAPHML,3,9,2.0
SUNET.GRAPHML,3,10,2.0
SUNET.GRAPHML,3,16,1.0
SUNET.GRAPHML,4,1,2.0
SUNET.GRAPHML,4,2,6.0
SUNET.GRAPHML,4,9,2.0
SUNET.GRAPHML,4,17,2.0
SUNET.GRAPHML,4,10,2.0
SURFNET.GRAPHML,2,8,4.0
SURFNET.GRAPHML,2,30,6.0
SURFNET.GRAPHML,2,38,2.0
SURFNET.GRAPHML,2,47,3.0
SURFNET.GRAPHML,3,13,2.0
SURFNET.GRAPHML,3,3,2.0
SURFNET.GRAPHML,3,2,2.0
SURFNET.GRAPHML,3,22,2.0
SURFNET.GRAPHML,3,8,3.0
SURFNET.GRAPHML,3,20,2.0
SURFNET.GRAPHML,3,35,1.0
SURFNET.GRAPHML,3,38,1.0
SURFNET.GRAPHML,3,14,3.0
SURFNET.GRAPHML,3,24,3.0
SURFNET.GRAPHML,3,32,1.0
SURFNET.GRAPHML,4,8,3.0
SURFNET.GRAPHML,4,1,1.0
SURFNET.GRAPHML,4,4,1.0
SURFNET.GRAPHML,4,3,2.0
SURFNET.GRAPHML,4,30,1.0
SURFNET.GRAPHML,4,2,1.0
SURFNET.GRAPHML,4,19,5.0
SURFNET.GRAPHML,4,13,3.0
SWITCHL3.GRAPHML,2,35,1.0
SWITCHL3.GRAPHML,2,7,3.0
SWITCHL3.GRAPHML,2,34,1.0
SWITCHL3.GRAPHML,2,37,1.0
SWITCHL3.GRAPHML,2,30,1.0
SWITCHL3.GRAPHML,2,31,2.0
SWITCHL3.GRAPHML,2,1,1.0
SWITCHL3.GRAPHML,2,23,1.0
SWITCHL3.GRAPHML,3,34,4.0
SWITCHL3.GRAPHML,3,32,4.0
SWITCHL3.GRAPHML,3,33,2.0
SWITCHL3.GRAPHML,3,12,2.0
SWITCHL3.GRAPHML,3,0,1.0
SWITCHL3.GRAPHML,3,22,1.0
SWITCHL3.GRAPHML,4,39,2.0
SWITCHL3.GRAPHML,4,16,1.0
SWITCHL3.GRAPHML,4,41,1.0
SWITCHL3.GRAPHML,4,27,1.0
SWITCHL3.GRAPHML,4,34,2.0
SWITCHL3.GRAPHML,4,20,1.0
SWITCHL3.GRAPHML,4,24,1.0
SWITCHL3.GRAPHML,4,28,1.0
SWITCHL3.GRAPHML,4,22,1.0
SWITCHL3.GRAPHML,4,23,1.0
TATANLD.GRAPHML,2,52,3.0
TATANLD.GRAPHML,2,71,2.0
TATANLD.GRAPHML,2,46,6.0
TATANLD.GRAPHML,2,98,2.0
TATANLD.GRAPHML,2,95,1.0
TATANLD.GRAPHML,2,120,1.0
TATANLD.GRAPHML,2,25,2.0
TATANLD.GRAPHML,2,37,3.0
TATANLD.GRAPHML,2,128,1.0
TATANLD.GRAPHML,2,81,2.0
TATANLD.GRAPHML,2,129,4.0
TATANLD.GRAPHML,2,97,1.0
TATANLD.GRAPHML,2,32,4.0
TATANLD.GRAPHML,2,60,7.0
TATANLD.GRAPHML,2,76,2.0
TATANLD.GRAPHML,2,91,2.0
TATANLD.GRAPHML,2,141,3.0
TATANLD.GRAPHML,2,23,1.0
TATANLD.GRAPHML,2,47,1.0
TATANLD.GRAPHML,2,104,1.0
TATANLD.GRAPHML,2,119,6.0
TATANLD.GRAPHML,3,1,3.0
TATANLD.GRAPHML,3,25,2.0
TATANLD.GRAPHML,3,52,3.0
TATANLD.GRAPHML,3,71,1.0
TATANLD.GRAPHML,3,46,2.0
TATANLD.GRAPHML,3,23,1.0
TATANLD.GRAPHML,3,32,4.0
TATANLD.GRAPHML,3,12,3.0
TATANLD.GRAPHML,3,15,1.0
TATANLD.GRAPHML,3,37,2.0
TATANLD.GRAPHML,3,95,1.0
TATANLD.GRAPHML,3,19,3.0
TATANLD.GRAPHML,3,47,6.0
TATANLD.GRAPHML,3,26,3.0
TATANLD.GRAPHML,3,11,1.0
TATANLD.GRAPHML,3,53,2.0
TATANLD.GRAPHML,3,98,2.0
TATANLD.GRAPHML,3,60,2.0
TATANLD.GRAPHML,3,97,1.0
TATANLD.GRAPHML,3,76,2.0
TATANLD.GRAPHML,3,0,3.0
TATANLD.GRAPHML,3,3,2.0
TATANLD.GRAPHML,3,120,1.0
TATANLD.GRAPHML,4,1,3.0
TATANLD.GRAPHML,4,25,2.0
TATANLD.GRAPHML,4,71,2.0
TATANLD.GRAPHML,4,52,3.0
TATANLD.GRAPHML,4,23,1.0
TATANLD.GRAPHML,4,46,2.0
TATANLD.GRAPHML,4,32,4.0
TATANLD.GRAPHML,4,15,1.0
TATANLD.GRAPHML,4,12,3.0
TATANLD.GRAPHML,4,19,3.0
TATANLD.GRAPHML,4,95,2.0
TATANLD.GRAPHML,4,47,6.0
TATANLD.GRAPHML,4,37,2.0
TATANLD.GRAPHML,4,27,3.0
TATANLD.GRAPHML,4,53,2.0
TATANLD.GRAPHML,4,11,1.0
TATANLD.GRAPHML,4,97,1.0
TATANLD.GRAPHML,4,60,2.0
TATANLD.GRAPHML,4,3,3.0
TATANLD.GRAPHML,4,98,2.0
TATANLD.GRAPHML,4,76,2.0
TINET.GRAPHML,2,34,2.0
TINET.GRAPHML,2,37,2.0
TINET.GRAPHML,2,41,2.0
TINET.GRAPHML,2,5,1.0
TINET.GRAPHML,2,8,1.0
TINET.GRAPHML,2,4,5.0
TINET.GRAPHML,2,35,4.0
TINET.GRAPHML,3,7,3.0
TINET.GRAPHML,3,18,4.0
TINET.GRAPHML,3,23,4.0
TINET.GRAPHML,3,12,3.0
TINET.GRAPHML,4,46,3.0
TINET.GRAPHML,4,52,2.0
TINET.GRAPHML,4,30,2.0
TINET.GRAPHML,4,40,3.0
TINET.GRAPHML,4,13,2.0
TINET.GRAPHML,4,38,4.0
TINET.GRAPHML,4,32,2.0
TINET.GRAPHML,4,16,1.0
TINET.GRAPHML,4,28,1.0
ULAKNET.GRAPHML,2,76,2.0
ULAKNET.GRAPHML,2,75,1.0
ULAKNET.GRAPHML,2,74,1.0
ULAKNET.GRAPHML,3,37,1.0
ULAKNET.GRAPHML,3,38,1.0
ULAKNET.GRAPHML,3,39,1.0
ULAKNET.GRAPHML,3,40,1.0
ULAKNET.GRAPHML,3,81,2.0
ULAKNET.GRAPHML,3,76,2.0
ULAKNET.GRAPHML,4,74,3.0
ULAKNET.GRAPHML,4,75,1.0
UNINETT2010.GRAPHML,2,66,4.0
UNINETT2010.GRAPHML,2,3,3.0
UNINETT2010.GRAPHML,2,67,4.0
UNINETT2010.GRAPHML,2,0,3.0
UNINETT2010.GRAPHML,2,1,3.0
UNINETT2010.GRAPHML,2,17,2.0
UNINETT2010.GRAPHML,2,37,1.0
UNINETT2010.GRAPHML,2,41,2.0
UNINETT2010.GRAPHML,3,26,2.0
UNINETT2010.GRAPHML,3,2,2.0
UNINETT2010.GRAPHML,3,17,3.0
UNINETT2010.GRAPHML,3,9,2.0
UNINETT2010.GRAPHML,3,32,2.0
UNINETT2010.GRAPHML,3,0,3.0
UNINETT2010.GRAPHML,3,5,2.0
UNINETT2010.GRAPHML,3,3,2.0
UNINETT2010.GRAPHML,3,28,2.0
UNINETT2010.GRAPHML,3,31,2.0
UNINETT2010.GRAPHML,3,51,1.0
UNINETT2010.GRAPHML,3,53,1.0
UNINETT2010.GRAPHML,3,46,3.0
UNINETT2010.GRAPHML,3,11,1.0
UNINETT2010.GRAPHML,4,1,3.0
UNINETT2010.GRAPHML,4,0,3.0
UNINETT2010.GRAPHML,4,8,3.0
UNINETT2010.GRAPHML,4,10,2.0
UNINETT2010.GRAPHML,4,17,2.0
UNINETT2010.GRAPHML,4,22,2.0
UNINETT2010.GRAPHML,4,9,2.0
UNINETT2010.GRAPHML,4,2,2.0
UNINETT2010.GRAPHML,4,26,3.0
UNINETT2010.GRAPHML,4,66,3.0
UNINETT2010.GRAPHML,4,6,1.0
UNINETT2010.GRAPHML,4,5,1.0
UNINETT2010.GRAPHML,4,29,2.0
UNINETT2010.GRAPHML,4,67,2.0
UNINETT2010.GRAPHML,4,7,1.0
USCARRIER,2,7,2.0
USCARRIER,2,77,8.0
USCARRIER,2,109,2.0
USCARRIER,2,50,3.0
USCARRIER,2,133,5.0
USCARRIER,2,18,3.0
USCARRIER,2,119,2.0
USCARRIER,2,9,1.0
USCARRIER,2,57,11.0
USCARRIER,2,103,1.0
USCARRIER,2,106,2.0
USCARRIER,2,86,1.0
USCARRIER,2,135,6.0
USCARRIER,2,33,2.0
USCARRIER,2,53,4.0
USCARRIER,2,91,2.0
USCARRIER,2,97,1.0
USCARRIER,2,157,6.0
USCARRIER,2,124,2.0
USCARRIER,3,7,2.0
USCARRIER,3,50,2.0
USCARRIER,3,19,2.0
USCARRIER,3,57,11.0
USCARRIER,3,15,1.0
USCARRIER,3,77,2.0
USCARRIER,3,109,2.0
USCARRIER,3,30,2.0
USCARRIER,3,6,7.0
USCARRIER,3,26,2.0
USCARRIER,3,53,2.0
USCARRIER,3,2,1.0
USCARRIER,3,4,1.0
USCARRIER,3,86,1.0
USCARRIER,3,34,1.0
USCARRIER,3,69,2.0
USCARRIER,3,119,2.0
USCARRIER,3,24,1.0
USCARRIER,3,16,1.0
USCARRIER,3,103,1.0
USCARRIER,3,106,2.0
USCARRIER,3,32,1.0
USCARRIER,3,36,1.0
USCARRIER,3,39,1.0
USCARRIER,3,61,3.0
USCARRIER,3,46,3.0
USCARRIER,3,91,2.0
USCARRIER,3,76,6.0
USCARRIER,3,51,2.0
USCARRIER,3,52,3.0
USCARRIER,3,133,3.0
USCARRIER,4,7,2.0
USCARRIER,4,50,2.0
USCARRIER,4,19,2.0
USCARRIER,4,15,1.0
USCARRIER,4,57,11.0
USCARRIER,4,77,2.0
USCARRIER,4,109,2.0
USCARRIER,4,6,7.0
USCARRIER,4,26,2.0
USCARRIER,4,30,2.0
USCARRIER,4,4,1.0
USCARRIER,4,2,1.0
USCARRIER,4,53,2.0
USCARRIER,4,86,1.0
USCARRIER,4,34,1.0
USCARRIER,4,69,2.0
USCARRIER,4,119,2.0
USCARRIER,4,16,1.0
USCARRIER,4,24,1.0
USCARRIER,4,39,1.0
USCARRIER,4,36,1.0
USCARRIER,4,32,1.0
USCARRIER,4,61,3.0
USCARRIER,4,103,1.0
USCARRIER,4,106,2.0
USCARRIER,4,46,3.0
USCARRIER,4,51,2.0
USCARRIER,4,52,3.0
USCARRIER,4,76,6.0
USCARRIER,4,91,2.0
USCARRIER,4,133,3.0
USCARRIER.GRAPHML,2,7,2.0
USCARRIER.GRAPHML,2,77,8.0
USCARRIER.GRAPHML,2,109,2.0
USCARRIER.GRAPHML,2,50,3.0
USCARRIER.GRAPHML,2,133,5.0
USCARRIER.GRAPHML,2,18,3.0
USCARRIER.GRAPHML,2,119,2.0
USCARRIER.GRAPHML,2,9,1.0
USCARRIER.GRAPHML,2,57,11.0
USCARRIER.GRAPHML,2,103,1.0
USCARRIER.GRAPHML,2,106,2.0
USCARRIER.GRAPHML,2,86,1.0
USCARRIER.GRAPHML,2,135,6.0
USCARRIER.GRAPHML,2,33,2.0
USCARRIER.GRAPHML,2,53,4.0
USCARRIER.GRAPHML,2,91,2.0
USCARRIER.GRAPHML,2,97,1.0
USCARRIER.GRAPHML,2,157,6.0
USCARRIER.GRAPHML,2,124,2.0
USCARRIER.GRAPHML,3,7,2.0
USCARRIER.GRAPHML,3,50,2.0
USCARRIER.GRAPHML,3,19,2.0
USCARRIER.GRAPHML,3,57,11.0
USCARRIER.GRAPHML,3,15,1.0
USCARRIER.GRAPHML,3,77,2.0
USCARRIER.GRAPHML,3,109,2.0
USCARRIER.GRAPHML,3,30,2.0
USCARRIER.GRAPHML,3,6,7.0
USCARRIER.GRAPHML,3,26,2.0
USCARRIER.GRAPHML,3,53,2.0
USCARRIER.GRAPHML,3,2,1.0
USCARRIER.GRAPHML,3,4,1.0
USCARRIER.GRAPHML,3,86,1.0
USCARRIER.GRAPHML,3,34,1.0
USCARRIER.GRAPHML,3,69,2.0
USCARRIER.GRAPHML,3,119,2.0
USCARRIER.GRAPHML,3,24,1.0
USCARRIER.GRAPHML,3,16,1.0
USCARRIER.GRAPHML,3,103,1.0
USCARRIER.GRAPHML,3,106,2.0
USCARRIER.GRAPHML,3,32,1.0
USCARRIER.GRAPHML,3,36,1.0
USCARRIER.GRAPHML,3,39,1.0
USCARRIER.GRAPHML,3,61,3.0
USCARRIER.GRAPHML,3,46,3.0
USCARRIER.GRAPHML,3,91,2.0
USCARRIER.GRAPHML,3,76,6.0
USCARRIER.GRAPHML,3,51,2.0
USCARRIER.GRAPHML,3,52,3.0
USCARRIER.GRAPHML,3,133,3.0
USCARRIER.GRAPHML,4,7,2.0
USCARRIER.GRAPHML,4,50,2.0
USCARRIER.GRAPHML,4,19,2.0
USCARRIER.GRAPHML,4,15,1.0
USCARRIER.GRAPHML,4,57,11.0
USCARRIER.GRAPHML,4,77,2.0
USCARRIER.GRAPHML,4,109,2.0
USCARRIER.GRAPHML,4,6,7.0
USCARRIER.GRAPHML,4,26,2.0
USCARRIER.GRAPHML,4,30,2.0
USCARRIER.GRAPHML,4,4,1.0
USCARRIER.GRAPHML,4,2,1.0
USCARRIER.GRAPHML,4,53,2.0
USCARRIER.GRAPHML,4,86,1.0
USCARRIER.GRAPHML,4,34,1.0
USCARRIER.GRAPHML,4,69,2.0
USCARRIER.GRAPHML,4,119,2.0
USCARRIER.GRAPHML,4,16,1.0
USCARRIER.GRAPHML,4,24,1.0
USCARRIER.GRAPHML,4,39,1.0
USCARRIER.GRAPHML,4,36,1.0
USCARRIER.GRAPHML,4,32,1.0
USCARRIER.GRAPHML,4,61,3.0
USCARRIER.GRAPHML,4,103,1.0
USCARRIER.GRAPHML,4,106,2.0
USCARRIER.GRAPHML,4,46,3.0
USCARRIER.GRAPHML,4,51,2.0
USCARRIER.GRAPHML,4,52,3.0
USCARRIER.GRAPHML,4,76,6.0
USCARRIER.GRAPHML,4,91,2.0
USCARRIER.GRAPHML,4,133,3.0
UUNET.GRAPHML,2,13,1.0
UUNET.GRAPHML,2,9,2.0
UUNET.GRAPHML,2,45,1.0
UUNET.GRAPHML,2,25,1.0
UUNET.GRAPHML,2,4,4.0
UUNET.GRAPHML,2,27,1.0
UUNET.GRAPHML,2,31,1.0
UUNET.GRAPHML,2,33,2.0
UUNET.GRAPHML,2,14,1.0
UUNET.GRAPHML,2,43,3.0
UUNET.GRAPHML,3,41,2.0
UUNET.GRAPHML,3,34,2.0
UUNET.GRAPHML,3,44,2.0
UUNET.GRAPHML,3,46,2.0
UUNET.GRAPHML,3,28,1.0
UUNET.GRAPHML,3,17,2.0
UUNET.GRAPHML,3,25,2.0
UUNET.GRAPHML,3,38,2.0
UUNET.GRAPHML,3,7,1.0
UUNET.GRAPHML,3,48,1.0
UUNET.GRAPHML,3,1,1.0
UUNET.GRAPHML,3,4,1.0
UUNET.GRAPHML,4,48,2.0
UUNET.GRAPHML,4,36,1.0
UUNET.GRAPHML,4,39,3.0
UUNET.GRAPHML,4,37,3.0
UUNET.GRAPHML,4,35,1.0
UUNET.GRAPHML,4,47,2.0
UUNET.GRAPHML,4,34,2.0
UUNET.GRAPHML,4,22,1.0
UUNET.GRAPHML,4,43,1.0
UUNET.GRAPHML,4,21,1.0
UUNET.GRAPHML,4,7,1.0
UUNET.GRAPHML,4,5,1.0
